Class Name,Instance Side Definition,Class Side Definition
ModelDependentDialogWindow,"DialogWindow subclass: #ModelDependentDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","ModelDependentDialogWindow class 	instanceVariableNames: ''"
MorphTreeMorphSingleSelection,"MorphTreeMorphSelection subclass: #MorphTreeMorphSingleSelection 	instanceVariableNames: 'selectedNodePath' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget'","MorphTreeMorphSingleSelection class 	instanceVariableNames: ''"
QuestionWithoutCancelDialogWindow,"QuestionDialogWindow subclass: #QuestionWithoutCancelDialogWindow 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets-Windows'","QuestionWithoutCancelDialogWindow class 	instanceVariableNames: ''"
TopLeftGripMorph,"CornerGripMorph subclass: #TopLeftGripMorph 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Windows'","TopLeftGripMorph class 	instanceVariableNames: ''"
Announcement,"Object subclass: #Announcement 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core'","Announcement class 	instanceVariableNames: ''"
PoolDefiner2,"SharedPool subclass: #PoolDefiner2 	instanceVariableNames: '' 	classVariableNames: 'Author VariableInPoolDefiner2' 	poolDictionaries: '' 	category: 'KernelTests-Classes'","PoolDefiner2 class 	instanceVariableNames: ''"
Stack,"LinkedList subclass: #Stack 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Stack'","Stack class 	instanceVariableNames: ''"
ZnUTF8Encoder,"ZnCharacterEncoder subclass: #ZnUTF8Encoder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Core'","ZnUTF8Encoder class 	instanceVariableNames: ''"
BlockClosureTest,"TestCase subclass: #BlockClosureTest 	instanceVariableNames: 'aBlockContext contextOfaBlockContext' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Methods'","BlockClosureTest class 	instanceVariableNames: ''"
RBLiteralValueNode,"RBLiteralNode subclass: #RBLiteralValueNode 	instanceVariableNames: 'token' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Nodes'","RBLiteralValueNode class 	instanceVariableNames: ''"
RBRenameVariableChange,"RBCompositeRefactoryChange subclass: #RBRenameVariableChange 	instanceVariableNames: 'className isMeta oldName newName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBRenameVariableChange class 	instanceVariableNames: ''"
SecureHashAlgorithmTest,"ClassTestCase subclass: #SecureHashAlgorithmTest 	instanceVariableNames: 'hash' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Digital Signatures'","SecureHashAlgorithmTest class 	instanceVariableNames: ''"
RBBlockNode,"RBValueNode subclass: #RBBlockNode 	instanceVariableNames: 'left right colons arguments bar body scope' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Nodes'","RBBlockNode class 	instanceVariableNames: ''"
MetacelloGoferPackage,"GoferPackageReference subclass: #MetacelloGoferPackage 	instanceVariableNames: 'packageFilename version workingCopy' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Gofer'","MetacelloGoferPackage class 	instanceVariableNames: ''"
ScannerTests,"TestCase subclass: #ScannerTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompilerTests'","ScannerTests class 	instanceVariableNames: ''"
HelpHowToHelpTopicsFromCode,"HelpHowToHelpTopics subclass: #HelpHowToHelpTopicsFromCode 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Core-Help'","HelpHowToHelpTopicsFromCode class 	instanceVariableNames: ''"
FLSerialization,"Object subclass: #FLSerialization 	instanceVariableNames: 'encoder root clusters analyzer' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Fuel-Core'","FLSerialization class 	instanceVariableNames: ''"
AbstractInstructionTests,"Object subclass: #AbstractInstructionTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompilerTests'","AbstractInstructionTests class 	instanceVariableNames: ''"
OutOfMemory,"Error subclass: #OutOfMemory 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Exceptions'","OutOfMemory class 	instanceVariableNames: ''"
RPackageCompleteSetupButForModificationTest,"RPackageIncrementalTest subclass: #RPackageCompleteSetupButForModificationTest 	instanceVariableNames: 'p1 p2 p3 a1 b1 a2 a3 b2' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-Tests'","RPackageCompleteSetupButForModificationTest class 	instanceVariableNames: ''"
PNGReadWriter,"ImageReadWriter subclass: #PNGReadWriter 	instanceVariableNames: 'chunk form width height depth backColor bitsPerChannel colorType interlaceMethod bitsPerPixel bytesPerScanline thisScanline prevScanline rowSize globalDataChunk unknownChunks palette transparentPixelValue filtersSeen cachedDecoderMap bigEndian' 	classVariableNames: 'BPP BlockHeight BlockWidth Debugging StandardColors StandardSwizzleMaps' 	poolDictionaries: '' 	category: 'Graphics-Files'","PNGReadWriter class 	instanceVariableNames: ''"
WindowLabelled,"WindowAnnouncement subclass: #WindowLabelled 	instanceVariableNames: 'label' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-WindowNotification'","WindowLabelled class 	instanceVariableNames: ''"
ObjectTest,"ClassTestCase subclass: #ObjectTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Objects'","ObjectTest class 	instanceVariableNames: ''"
RGNamedDefinition,"RGDefinition subclass: #RGNamedDefinition 	instanceVariableNames: 'name' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Core-Kernel'","RGNamedDefinition class 	instanceVariableNames: ''"
MCMergeBrowser,"MCPatchBrowser subclass: #MCMergeBrowser 	instanceVariableNames: 'conflicts merger ok' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloGUI'","MCMergeBrowser class 	instanceVariableNames: ''"
TextLineEndingsTest,"TestCase subclass: #TextLineEndingsTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'TextTests'","TextLineEndingsTest class 	instanceVariableNames: ''"
RBSmalllintChecker,"Object subclass: #RBSmalllintChecker 	instanceVariableNames: 'rule environment context methodBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics'","RBSmalllintChecker class 	instanceVariableNames: ''"
PickListModel,"ComposableModel subclass: #PickListModel 	instanceVariableNames: 'defaultValueHolder labelClickableHolder listModel pickedItemsHolder wrapHolder associationsItemToWrapper associationsWrapperToItem associationsIndexToWrapper blockToPerformOnWrappers' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Widgets-PolyWidgets'","PickListModel class 	instanceVariableNames: ''"
MCVersionSorter,"Object subclass: #MCVersionSorter 	instanceVariableNames: 'layers depthIndex depths stepparents roots' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Versioning'","MCVersionSorter class 	instanceVariableNames: ''"
MetacelloAddMemberSpec,"MetacelloMemberSpec subclass: #MetacelloAddMemberSpec 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Members'","MetacelloAddMemberSpec class 	instanceVariableNames: ''"
FileSystemTreeTest,"TestCase subclass: #FileSystemTreeTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","FileSystemTreeTest class 	instanceVariableNames: ''"
AbstractGroupAnnouncement,"Announcement subclass: #AbstractGroupAnnouncement 	instanceVariableNames: 'group holder' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GroupManager-Announcements'","AbstractGroupAnnouncement class 	instanceVariableNames: ''"
RxsCharSet,"RxsNode subclass: #RxsCharSet 	instanceVariableNames: 'negated elements' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Regex-Core'","RxsCharSet class 	instanceVariableNames: ''"
MCPackageTest,"MCTestCase subclass: #MCPackageTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tests-Monticello'","MCPackageTest class 	instanceVariableNames: ''"
WeightedAverageCost,"AverageCost subclass: #WeightedAverageCost 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CompilerTests'","WeightedAverageCost class 	instanceVariableNames: ''"
CompositeBorder,"SimpleBorder subclass: #CompositeBorder 	instanceVariableNames: 'borders' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Borders'","CompositeBorder class 	instanceVariableNames: ''"
CustomHelp,"Object subclass: #CustomHelp 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Core-Utilities'","CustomHelp class 	instanceVariableNames: ''"
FLFuelCommandLineHandler,"CommandLineHandler subclass: #FLFuelCommandLineHandler 	instanceVariableNames: 'files' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelCommandLineHandler'","FLFuelCommandLineHandler class 	instanceVariableNames: ''"
RBPullUpMethodRefactoring,"RBMethodRefactoring subclass: #RBPullUpMethodRefactoring 	instanceVariableNames: 'removeDuplicates selectors' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Refactorings'","RBPullUpMethodRefactoring class 	instanceVariableNames: ''"
WarpBlt,"BitBlt subclass: #WarpBlt 	instanceVariableNames: 'p1x p1y p1z p2x p2y p2z p3x p3y p3z p4x p4y p4z cellSize sourceRGBmap' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Graphics-Primitives'","WarpBlt class 	instanceVariableNames: ''"
DeflateStream,"WriteStream subclass: #DeflateStream 	instanceVariableNames: 'hashHead hashTail hashValue blockPosition blockStart' 	classVariableNames: '' 	poolDictionaries: 'ZipConstants' 	category: 'Compression-Streams'","DeflateStream class 	instanceVariableNames: ''"
GraphicFontSettings,"Object subclass: #GraphicFontSettings 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Settings-Graphics'","GraphicFontSettings class 	instanceVariableNames: ''"
RBValueToken,"RBToken subclass: #RBValueToken 	instanceVariableNames: 'value' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'AST-Core-Tokens'","RBValueToken class 	instanceVariableNames: ''"
DeepCopier,"Object subclass: #DeepCopier 	instanceVariableNames: 'references' 	classVariableNames: 'NextVariableCheckTime' 	poolDictionaries: '' 	category: 'Kernel-Objects'","DeepCopier class 	instanceVariableNames: ''"
MCWorkingCopy,"MCPackageManager subclass: #MCWorkingCopy 	instanceVariableNames: 'versionInfo ancestry counter repositoryGroup requiredPackages' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Versioning'","MCWorkingCopy class 	instanceVariableNames: ''"
KMPlatformSpecificShortcut,"Object subclass: #KMPlatformSpecificShortcut 	instanceVariableNames: 'shortcut platform' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Shortcuts'","KMPlatformSpecificShortcut class 	instanceVariableNames: ''"
BraceNode,"ParseNode subclass: #BraceNode 	instanceVariableNames: 'elements sourceLocations emitNode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compiler-ParseNodes'","BraceNode class 	instanceVariableNames: ''"
ConfigurationCommandLineHandlerTest,"TestCase subclass: #ConfigurationCommandLineHandlerTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'ConfigurationCommandLineHandler-Tests'","ConfigurationCommandLineHandlerTest class 	instanceVariableNames: ''"
RGVariableDefinitionTest,"TestCase subclass: #RGVariableDefinitionTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Ring-Tests-Kernel'","RGVariableDefinitionTest class 	instanceVariableNames: ''"
SplitJoinTest,"TestCase subclass: #SplitJoinTest 	instanceVariableNames: 'eg stringToSplit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-SplitJoin'","SplitJoinTest class 	instanceVariableNames: ''"
NECDetailMorph,"Morph subclass: #NECDetailMorph 	instanceVariableNames: 'title description arrowPosition label' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'NECompletion-View'","NECDetailMorph class 	instanceVariableNames: ''"
ThreadSafeTranscript,"Object subclass: #ThreadSafeTranscript 	instanceVariableNames: 'stream accessSemaphore' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Transcript'","ThreadSafeTranscript class 	instanceVariableNames: ''"
FileDoesNotExist,"FileSystemError subclass: #FileDoesNotExist 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Core-Kernel'","FileDoesNotExist class 	instanceVariableNames: ''"
SingleTreeTest,"FileSystemTreeTest subclass: #SingleTreeTest 	instanceVariableNames: 'filesystem' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","SingleTreeTest class 	instanceVariableNames: ''"
AlphaBlendingCanvas,"ColorMappingCanvas subclass: #AlphaBlendingCanvas 	instanceVariableNames: 'alpha' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Support'","AlphaBlendingCanvas class 	instanceVariableNames: ''"
TelnetProtocolClient,"ProtocolClient subclass: #TelnetProtocolClient 	instanceVariableNames: 'responseCode' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","TelnetProtocolClient class 	instanceVariableNames: ''"
KMCommandModifier,"KMModifier subclass: #KMCommandModifier 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Shortcuts'","KMCommandModifier class 	instanceVariableNames: ''"
MCMockASubclass,"MCMockClassA subclass: #MCMockASubclass 	instanceVariableNames: 'x' 	classVariableNames: 'Y' 	poolDictionaries: '' 	category: 'MonticelloMocks'","MCMockASubclass class 	instanceVariableNames: ''"
MethodRepackaged,"SystemAnnouncement subclass: #MethodRepackaged 	instanceVariableNames: 'methodRepackaged newPackage oldPackage' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RPackage-SystemIntegration'","MethodRepackaged class 	instanceVariableNames: ''"
DiffElement,"Object subclass: #DiffElement 	instanceVariableNames: 'string hash match' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-FilePackage'","DiffElement class 	instanceVariableNames: ''"
RBAsOrderedCollectionNotNeededRule,"RBParseTreeLintRule subclass: #RBAsOrderedCollectionNotNeededRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-ParseTreeRules'","RBAsOrderedCollectionNotNeededRule class 	instanceVariableNames: ''"
InlineTextDiffBuilder,"TextDiffBuilder subclass: #InlineTextDiffBuilder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","InlineTextDiffBuilder class 	instanceVariableNames: ''"
SimpleTestResourceA,"SimpleTestResource subclass: #SimpleTestResourceA 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","SimpleTestResourceA class 	instanceVariableNames: ''"
ZnDispatcherDelegate,"Object subclass: #ZnDispatcherDelegate 	instanceVariableNames: 'dispatcherDictionary' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Client-Server'","ZnDispatcherDelegate class 	instanceVariableNames: ''"
ClassTreeNodeExample,"MorphTreeNodeModel subclass: #ClassTreeNodeExample 	instanceVariableNames: 'contents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-MorphTreeWidget-Examples'","ClassTreeNodeExample class 	instanceVariableNames: ''"
ZnBufferedReadStream,"Object subclass: #ZnBufferedReadStream 	instanceVariableNames: 'stream buffer position limit' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Character-Encoding-Core'","ZnBufferedReadStream class 	instanceVariableNames: ''"
ZnLineReaderTests,"TestCase subclass: #ZnLineReaderTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-Tests'","ZnLineReaderTests class 	instanceVariableNames: ''"
MultiByteFileStreamTest,"TestCase subclass: #MultiByteFileStreamTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-Tests-TextConversion'","MultiByteFileStreamTest class 	instanceVariableNames: ''"
